Country,HDI.Rank,HDI,CPI,Region
Afghanistan,172,398,"1,5",Asia Pacific
Albania,70,739,"3,1",East EU Cemt Asia
Algeria,96,698,"2,9",MENA
Angola,148,486,2,SSA
Argentina,45,797,3,Americas
Armenia,86,716,"2,6",East EU Cemt Asia
Australia,2,929,"8,8",Asia Pacific
Austria,19,885,"7,8",EU W. Europe
Azerbaijan,91,0.7,"2,4",East EU Cemt Asia
Bahamas,53,771,"7,3",Americas
Bahrain,42,806,"5,1",MENA
Bangladesh,146,0.5,"2,7",Asia Pacific
Barbados,47,793,"7,8",Americas
Belarus,65,756,"2,4",East EU Cemt Asia
Belgium,18,886,"7,5",EU W. Europe
Benin,167,427,3,SSA
Bhutan,141,522,"5,7",Asia Pacific
Bolivia,108,663,"2,8",Americas
Bosnia and Herzegovina,74,733,"3,2",East EU Cemt Asia
Botswana,118,633,"6,1",SSA
Brazil,84,718,"3,8",Americas
Britain,28,863,"7,8",EU W. Europe
Bulgaria,55,771,"3,3",EU W. Europe
Burkina Faso,181,331,3,SSA
Burundi,185,316,"1,9",SSA
Cambodia,139,523,"2,1",Asia Pacific
Cameroon,150,482,"2,5",SSA
Canada,6,908,"8,7",Americas
Cape Verde,133,568,"5,5",SSA
Central African Republic,179,343,"2,2",SSA
Chad,183,328,2,SSA
Chile,44,805,"7,2",Americas
China,101,687,"3,6",Asia Pacific
Colombia,87,0.71,"3,4",Americas
Comoros,163,433,"2,4",SSA
Congo,187,286,2,SSA
Congo  Republic,137,533,"2,2",SSA
Costa Rica,69,744,"4,8",Americas
C̫te d'Ivoire,170,0.4,"2,2",SSA
Croatia,46,796,4,East EU Cemt Asia
Cuba,51,776,"4,2",Americas
Cyprus,31,0.84,"6,3",EU W. Europe
Czech Republic,27,865,"4,4",EU W. Europe
Denmark,16,895,"9,4",EU W. Europe
Djibouti,165,0.43,3,SSA
Dominica,81,724,"5,2",Americas
Dominican Republic,98,689,"2,6",Americas
Ecuador,83,0.72,"2,7",Americas
Egypt,113,644,"2,9",MENA
El Salvador,105,674,"3,4",Americas
Equatorial Guinea,136,537,"1,9",SSA
Eritrea,177,349,"2,5",SSA
Estonia,34,835,"6,4",EU W. Europe
Ethiopia,174,363,"2,7",SSA
Finland,22,882,"9,4",EU W. Europe
France,20,884,7,EU W. Europe
Gabon,106,674,3,SSA
Gambia,168,0.42,"3,5",SSA
Georgia,75,733,"4,1",East EU Cemt Asia
Germany,9,905,8,EU W. Europe
Ghana,135,541,"3,9",SSA
Greece,29,861,"3,4",EU W. Europe
Guatemala,131,574,"2,7",Americas
Guinea,178,344,"2,1",SSA
Guinea-Bissau,176,353,"2,2",SSA
Guyana,117,633,"2,5",Americas
Haiti,158,454,"1,8",Americas
Honduras,121,625,"2,6",Americas
Hong Kong,13,898,"8,4",Asia Pacific
Hungary,38,816,"4,6",EU W. Europe
Iceland,14,898,"8,3",EU W. Europe
India,134,547,"3,1",Asia Pacific
Indonesia,124,617,3,Asia Pacific
Iran,88,707,"2,7",MENA
Iraq,132,573,"1,8",MENA
Ireland,7,908,"7,5",EU W. Europe
Israel,17,888,"5,8",MENA
Italy,24,874,"3,9",EU W. Europe
Jamaica,79,727,"3,3",Americas
Japan,12,901,8,Asia Pacific
Jordan,95,698,"4,5",MENA
Kazakhstan,68,745,"2,7",East EU Cemt Asia
Kenya,143,509,"2,2",SSA
Kiribati,122,624,"3,1",Asia Pacific
Korea (South),15,897,"5,4",Asia Pacific
Kuwait,63,0.76,"4,6",MENA
Kyrgyzstan,126,615,"2,1",East EU Cemt Asia
